,date,top_artists,top_1,top_2,top_3
15,2023-01-16,"['Shakira', 'Austin Butler', 'Miley Cyrus']",Shakira,Austin Butler,Miley Cyrus
16,2023-01-17,"['Shakira', 'Miley Cyrus', 'Madonna']",Shakira,Miley Cyrus,Madonna
17,2023-01-18,"['Miley Cyrus', 'Shakira', 'Madonna']",Miley Cyrus,Shakira,Madonna
18,2023-01-19,"['David Crosby', 'Miley Cyrus', 'Shakira']",David Crosby,Miley Cyrus,Shakira
19,2023-01-20,"['David Crosby', 'The Byrds', 'Miley Cyrus']",David Crosby,The Byrds,Miley Cyrus
20,2023-01-21,"['David Crosby', 'Miley Cyrus', 'XXXTentacion']",David Crosby,Miley Cyrus,XXXTentacion
21,2023-01-22,"['David Crosby', 'Miley Cyrus', 'XXXTentacion']",David Crosby,Miley Cyrus,XXXTentacion
22,2023-01-23,"['XXXTentacion', 'Miley Cyrus', 'David Crosby']",XXXTentacion,Miley Cyrus,David Crosby
23,2023-01-24,"['Miley Cyrus', 'XXXTentacion', 'Maya Rudolph']",Miley Cyrus,XXXTentacion,Maya Rudolph
24,2023-01-25,"['Paris Hilton', 'Roberta Flack', 'Miley Cyrus']",Paris Hilton,Roberta Flack,Miley Cyrus
25,2023-01-26,"['Miley Cyrus', 'XXXTentacion', 'Paris Hilton']",Miley Cyrus,XXXTentacion,Paris Hilton
26,2023-01-27,"['XXXTentacion', 'Miley Cyrus', 'Sam Smith']",XXXTentacion,Miley Cyrus,Sam Smith
27,2023-01-28,"['XXXTentacion', 'Julia Louis-Dreyfus', 'Miley Cyrus']",XXXTentacion,Julia Louis-Dreyfus,Miley Cyrus
28,2023-01-29,"['Anita Baker', 'Bradley Cooper', 'XXXTentacion']",Anita Baker,Bradley Cooper,XXXTentacion
29,2023-01-30,"['XXXTentacion', 'Marc Anthony', 'Megan Mullally']",XXXTentacion,Marc Anthony,Megan Mullally
